ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
CL00011410,Jan,4,Friday,Honda,Urban,Monday,Jan,4,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,more than 30,more than 30,2 to 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00003377,Sep,4,Wednesday,Pontiac,Urban,Friday,Oct,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
CL00011894,Jul,2,Wednesday,Mazda,Urban,Tuesday,Jul,3,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
CL00000889,Jun,3,Monday,Chevrolet,Urban,Wednesday,Jun,4,Male,Single,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
CL00009091,Feb,3,Wednesday,Mercury,Urban,Tuesday,Feb,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
CL00006936,Jul,3,Saturday,Pontiac,Rural,Monday,Jul,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
CL00012664,Jun,1,Wednesday,Accura,Rural,Thursday,Jun,1,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00014568,Mar,4,Monday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
CL00015373,Dec,2,Saturday,Chevrolet,Urban,Tuesday,Dec,2,Male,Married,Third Party,Sedan - Collision,Sedan,less than 20000,0,400,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
CL00008372,Dec,3,Wednesday,Toyota,Urban,Wednesday,Dec,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00002068,Oct,1,Sunday,Mazda,Urban,Friday,Oct,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,500,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,1995,Collision
CL00003569,Oct,1,Monday,Toyota,Urban,Tuesday,Oct,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
CL00000465,May,4,Wednesday,Pontiac,Urban,Thursday,May,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
CL00000982,Jul,4,Saturday,Mazda,Urban,Tuesday,Aug,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
CL00014082,Aug,5,Monday,Pontiac,Urban,Monday,Sep,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00009257,Mar,3,Friday,Honda,Urban,Friday,Apr,1,Female,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00008469,Oct,5,Saturday,Pontiac,Urban,Monday,Oct,5,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
CL00005145,Apr,3,Monday,Honda,Urban,Tuesday,Apr,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00012584,May,1,Thursday,Pontiac,Urban,Thursday,May,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
CL00009878,Jun,3,Saturday,Toyota,Urban,Monday,Jun,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,500,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Liability
CL00010077,Feb,2,Friday,Accura,Urban,Thursday,Feb,3,Female,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00005737,Sep,3,Monday,Chevrolet,Urban,Monday,Sep,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
CL00014698,Jan,4,Saturday,VW,Urban,Thursday,Feb,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
CL00003710,May,2,Saturday,Pontiac,Urban,Saturday,May,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,400,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00014155,Aug,1,Friday,Pontiac,Urban,Wednesday,Aug,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00005617,May,3,Friday,Mazda,Urban,Wednesday,May,4,Male,Married,Third Party,Sport - Collision,Sport,more than 69000,1,500,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Collision
CL00003752,Mar,2,Thursday,Toyota,Urban,Tuesday,Mar,3,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
CL00000387,Oct,3,Sunday,Mazda,Urban,Monday,Oct,3,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00011298,Jun,5,Wednesday,Pontiac,Urban,Wednesday,Jun,5,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
CL00003285,Dec,3,Monday,Mazda,Urban,Wednesday,Jan,1,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00014064,Jun,1,Monday,Pontiac,Urban,Friday,Jun,3,Male,Married,Third Party,Sedan - Liability,Sport,more than 69000,0,400,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00007525,Jun,2,Sunday,Pontiac,Urban,Wednesday,Jun,4,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
CL00013266,Jul,1,Friday,Accura,Urban,Tuesday,Jul,2,Female,Divorced,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00011325,May,4,Sunday,Mazda,Rural,Tuesday,Jun,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00009649,Mar,1,Saturday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
CL00003695,Feb,4,Thursday,Pontiac,Urban,Friday,Feb,4,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00003006,Dec,5,Thursday,Accura,Rural,Wednesday,Feb,4,Male,Married,Third Party,Utility - All Perils,Utility,more than 69000,0,400,none,more than 30,1,5 years,41 to 50,No,No,External,none,1 year,1 vehicle,1996,All Perils
CL00006689,May,1,Saturday,Honda,Urban,Monday,May,5,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00012309,May,2,Sunday,Mazda,Urban,Friday,May,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00012526,Sep,1,Friday,Mazda,Urban,Thursday,Sep,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00012031,Apr,1,Saturday,Mazda,Urban,Friday,Apr,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00004804,Nov,4,Monday,Honda,Urban,Monday,Nov,4,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00002809,Jul,3,Wednesday,Chevrolet,Urban,Friday,Jul,5,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
CL00015208,Oct,2,Monday,Toyota,Urban,Tuesday,Oct,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,400,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
CL00001699,Nov,5,Wednesday,Pontiac,Urban,Friday,Dec,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00006033,Oct,2,Saturday,Honda,Rural,Thursday,Oct,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
CL00004091,Dec,3,Friday,Toyota,Urban,Friday,Dec,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00012355,Oct,5,Sunday,Pontiac,Urban,Wednesday,Nov,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00014977,Aug,3,Saturday,Pontiac,Rural,Friday,Sep,2,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,1,7 years,31 to 35,Yes,Yes,External,none,no change,1 vehicle,1996,Collision
CL00011551,May,1,Thursday,Mazda,Urban,Monday,Jun,1,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,41 to 50,Yes,No,External,none,no change,1 vehicle,1994,All Perils
CL00002290,Aug,2,Monday,Toyota,Urban,Wednesday,Aug,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00010908,Jan,2,Monday,Toyota,Urban,Wednesday,Feb,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00012201,Dec,4,Monday,Pontiac,Urban,Friday,Jan,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00003609,Sep,2,Wednesday,Pontiac,Urban,Wednesday,Sep,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00000620,Jan,4,Tuesday,Ford,Urban,Wednesday,Jan,4,Male,Married,Third Party,Sedan - Liability,Sport,40000 to 59000,0,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
CL00007730,Apr,2,Monday,Chevrolet,Rural,Wednesday,May,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00009518,Jun,4,Saturday,Mazda,Urban,Tuesday,Jun,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00008154,Oct,3,Monday,Honda,Urban,Monday,Oct,4,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
CL00010767,Jul,3,Tuesday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00007538,Aug,2,Saturday,Honda,Urban,Friday,Sep,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
CL00000596,Jul,3,Thursday,Pontiac,Urban,Wednesday,Aug,1,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00015296,May,3,Monday,Honda,Urban,Monday,May,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
CL00013518,Nov,2,Monday,Honda,Urban,Wednesday,Nov,2,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,more than 30,more than 30,1,2 years,18 to 20,No,Yes,External,none,no change,1 vehicle,1994,Collision
CL00000006,May,3,Monday,Chevrolet,Urban,Wednesday,May,3,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00001628,Sep,4,Saturday,Pontiac,Urban,Thursday,Sep,5,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision
CL00011832,Dec,1,Sunday,Mazda,Urban,Monday,Dec,1,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
CL00012131,Jun,4,Friday,Toyota,Urban,Thursday,Jul,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00002855,Jun,3,Monday,Honda,Urban,Monday,Jun,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00002923,Apr,3,Friday,Toyota,Rural,Friday,Apr,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
CL00004655,Jul,4,Wednesday,Chevrolet,Urban,Wednesday,Aug,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00001614,Oct,3,Wednesday,Chevrolet,Urban,Wednesday,Oct,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
CL00001437,Apr,1,Tuesday,Honda,Urban,Tuesday,Apr,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
CL00003134,Mar,5,Friday,Honda,Urban,Monday,Apr,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,700,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00013142,Mar,2,Friday,Mazda,Rural,Friday,Mar,3,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,3 to 4,1995,Collision
CL00007384,Mar,2,Tuesday,Toyota,Urban,Wednesday,Mar,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00001543,Feb,2,Tuesday,Toyota,Urban,Wednesday,Mar,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00008427,Jul,4,Monday,Pontiac,Urban,Wednesday,Aug,1,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
CL00002830,Mar,3,Sunday,Honda,Urban,Monday,Mar,3,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
CL00014477,Dec,3,Wednesday,Toyota,Urban,Thursday,Dec,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
CL00010067,May,1,Thursday,Pontiac,Urban,Tuesday,May,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
CL00004484,Mar,3,Thursday,Chevrolet,Rural,Thursday,Mar,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00009293,Feb,3,Sunday,Pontiac,Urban,Tuesday,Feb,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,700,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00001891,Apr,4,Saturday,Chevrolet,Urban,Thursday,Apr,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision
CL00014451,Apr,4,Tuesday,Honda,Urban,Thursday,Apr,4,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,more than 30,more than 30,1,4 years,26 to 30,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Collision
CL00004443,Dec,1,Friday,Toyota,Urban,Friday,Dec,1,Male,Married,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Liability
CL00010498,Mar,1,Wednesday,Chevrolet,Urban,Friday,Mar,1,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
CL00001765,Jul,2,Sunday,Honda,Urban,Thursday,Jul,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00002699,Mar,3,Thursday,Pontiac,Urban,Friday,Mar,3,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00013785,Jul,1,Tuesday,Mazda,Urban,Tuesday,Jul,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00011780,Sep,3,Sunday,Pontiac,Urban,Tuesday,Sep,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils
